Player,Season,Tm,SeasonPlayerBorn,MP,EstAdjTOV,TOV.,TOV100,ATRatio,PPR
Kenny McIntosh,1974,SEA,1974 Kenny McIntosh 1949,2056,95.60922725,13.35904239,2.02551909,0.983168704,-1.60226462
Stan McKenzie,1974,HOU,1974 Stan McKenzie 1945,112,6.944703847,20.15019156,2.805185343,0.863967727,-2.629199864
Jim McMillian,1974,BUF,1974 Jim McMillian 1949,3322,232.538005,14.41382834,3.010726859,1.100895314,-1.862472557
Larry McNeill,1974,KCO,1974 Larry McNeill 1951,516,55.62281791,16.49438145,4.876734797,0.4314776,-7.67884068
Cliff Meely,1974,HOU,1974 Cliff Meely 1948,1754,169.0117345,16.84035057,4.359263519,0.733676868,-4.922751869
Gary Melchionni,1974,PHO,1974 Gary Melchionni 1951,1251,79.44578588,14.04812793,2.781276965,1.787382407,1.216697106
Dean Meminger,1974,NYK,1974 Dean Meminger 1949,2079,110.4423049,15.34256936,2.46366617,1.46682922,-0.117474984
John Mengelt,1974,DET,1974 John Mengelt 1950,1555,124.6991674,15.91648584,3.61430493,1.18685636,-1.674115804
Steve Mix,1974,PHI,1974 Steve Mix 1948,2969,213.2733016,15.43229633,3.18375086,0.712700553,-3.770291958
Earl Monroe,1974,NYK,1974 Earl Monroe 1945,1194,77.66985362,12.12852658,3.016817561,1.416250899,-0.363192654
Otto Moore,1974,TOT,1974 Otto Moore 1947,946,66.87275335,20.01262976,3.198040224,0.971995271,-2.488310784
Otto Moore,1974,HOU,1974 Otto Moore 1947,313,17.10318324,19.08343648,2.472056911,1.052435663,-1.630409982
Otto Moore,1974,KCO,1974 Otto Moore 1947,633,49.76957011,20.35319086,3.557017754,0.944352139,-2.912517657
Jeff Mullins,1974,GSW,1974 Jeff Mullins 1943,2498,198.1481319,13.8892629,3.496317837,1.539252463,0.207574116
Calvin Murphy,1974,HOU,1974 Calvin Murphy 1949,2922,251.6128947,14.85587473,3.895637484,2.396538543,5.146718182
Bob Nash,1974,DET,1974 Bob Nash 1951,281,22.4055436,14.4958204,3.593691521,0.624845362,-4.652032125
Lloyd Neal,1974,POR,1974 Lloyd Neal 1951,1517,117.3621935,16.92848808,3.422584161,0.758336202,-3.825237978
